County,Lat,Lng,pPond,pLake, pStream, pWell, pRunning, pPiped, pRain, pVendor, pOther, nHousetotal,nPond,nLake,nStream,nWell,nRunning,nPiped,nRain,nVendor,nOther
Baringo
,0.512912,35.952537,2.12,6.44,52.16,20.70,1.74,12.31,0.40,1.08,3.06,110649,2344,7123,57714,22901,1925,13623,440,1195,3384
Bomet
,-0.690131,35.278005,0.13,15.14,43.26,25.30,4.52,9.62,1.35,0.66,0.03,174914,229,26480,75666,44261,7910,16819,2353,1147,49
Bungoma
,0.737046,34.672536,0.06,0.27,9.50,78.47,1.55,8.78,0.15,1.22,0.02,270824,168,729,25720,212514,4186,23765,394,3293,55
Busia
,0.428414,34.210571,3.26,1.17,12.19,77.06,0.64,4.99,0.17,0.50,0.03,154225,5033,1800,18793,118850,986,7689,260,770,44
Elgeyo Marakwet
,0.806011,35.564093,0.08,0.78,54.56,24.33,2.39,17.31,0.19,0.32,0.04,77555,60,606,42315,18869,1856,13426,148,246,29
Embu
,-0.5982,37.653906,0.08,3.54,31,24.40,8.97,28.32,0.46,3.13,0.11,131683,99,4662,40822,32127,11810,37288,607,4122,146
Garissa
,-0.564679,40.408457,0.12,3.85,7.61,47.03,3.28,24.84,0.63,2.98,9.65,98590,120,3797,7506,46371,3233,24492,618,2939,9514
Homa Bay
,-0.640985,34.411083,16.93,11.78,31.37,32.30,0.79,4.83,0.66,1.30,0.06,206255,34914,24289,64696,66615,1625,9969,1353,2680,114
Isiolo
,0.949302,38.614718,0.01,0.68,10.81,35.17,6.42,42.82,0.23,3.35,0.52,31326,3,213,3386,11018,2010,13413,71,1050,162
Kajiado
,-2.221971,36.980268,0.17,3.97,8.93,34.70,8.99,27.83,0.76,14.48,0.15,173464,299,6889,15482,60198,15602,48283,1325,25125,261
Kakamega
,0.308499,34.654844,0.07,0.69,22.55,69.90,1.76,4.07,0.35,0.57,0.03,355679,264,2463,80202,248628,6263,14459,1250,2041,109
Kericho
,-0.297842,35.319833,0.07,1.05,40.80,24.77,11.95,18.61,0.73,1.99,0.03,127581,90,1334,52052,31603,15249,23743,935,2536,39
Kiambu
,-1.060698,36.79929,0.03,0.80,11.83,31.87,12.48,32.84,0.96,9.15,0.03,482450,163,3873,57079,153734,60224,158445,4620,44148,164
Kilifi
,-3.279972,39.63501,0.26,13.12,4.32,21.26,7.08,46.83,0.71,6.11,0.29,199764,511,26218,8636,42476,14151,93557,1418,12215,582
Kirinyaga
,-0.517766,37.302006,0.02,0.21,41.01,15.79,7.12,33.40,0.49,1.91,0.05,154220,28,318,63242,24356,10975,51515,756,2951,79
Kisii
,-0.782524,34.766895,0.05,0.16,31.46,63.10,0.91,2.97,0.93,0.40,0.02,269683,147,437,84837,170166,2449,8007,2510,1075,55
Kisumu
,-0.167225,34.953647,2.33,4.29,24.48,33.78,3.38,21.90,1.04,8.77,0.03,226719,5287,9735,55491,76589,7653,49658,2362,19872,72
Kitui
,-1.519146,38.376101,0.14,4.66,40.86,42.46,0.96,6.70,0.65,3.55,0.02,205491,294,9583,83955,87259,1968,13758,1336,7289,49
Kwale 
,-4.242667,39.174233,0.22,20.79,11.04,36.98,2.52,25.70,0.57,2.08,0.10,122047,265,25370,13470,45131,3080,31361,701,2544,125
Laikipia
,0.311627,36.814178,0.04,7.61,26.06,31.58,8.49,21.15,1.53,3.50,0.05,103114,40,7847,26873,32560,8753,21809,1580,3604,48
Lamu
,-2.03752,40.688214,0.66,6.29,2.40,51.40,7.81,22.67,7.45,1.19,0.13,22184,146,1396,532,11402,1732,5030,1652,265,29
Machakos
,-1.327138,37.352277,0.06,7.80,23.12,43.13,3.71,10.50,0.73,10.89,0.05,264500,155,20640,61163,114074,9809,27785,1920,28816,138
Makueni
,-2.211917,37.865047,0.04,5.03,33.38,34.57,2.43,19.32,0.62,4.60,0.01,186478,77,9380,62249,64460,4529,36034,1158,8580,11
Mandera
,3.46712,40.704671,0.09,27.84,6.70,41.21,1.14,4.60,4.91,13.23,0.28,125497,118,34942,8410,51713,1426,5769,6167,16599,353
Marsabit
,2.772167,37.76822,1.27,9.83,0.61,68.96,0.26,6.58,1.77,10.62,0.09,56941,724,5599,350,39266,147,3747,1008,6047,53
Meru
,0.159398,37.750761,0.12,0.32,26.85,11.46,7.80,44.86,0.86,7.52,0.22,381026,449,1214,102300,43660,29737,170912,3276,28646,832
Migori
,-1.008592,34.42681,6.27,5.34,39.73,44.99,0.75,1.61,0.45,0.74,0.13,180211,11291,9615,71603,81080,1359,2901,802,1328,232
Mombasa
,-3.998813,39.632129,0.01,0.41,0.13,22.01,11.56,41.29,0.12,24.41,0.05,268700,33,1102,340,59144,31055,110955,323,65601,147
Murang'a
,-0.804314,37.035566,0.04,0.65,46.57,23.67,4.45,19.36,3.52,1.69,0.03,242490,96,1583,112927,57400,10802,46955,8537,4108,82
Nairobi
,-1.296975,36.844534,0.01,0.28,0.14,7.18,23.42,52.28,0.17,16.45,0.07,985016,99,2761,1345,70729,230704,514943,1691,162057,687
Nakuru
,-0.385212,36.036261,0.40,1.98,16.86,25.91,7.95,28.80,3.78,14.17,0.15,409836,1625,8131,69081,106202,32572,118036,15511,58069,609
Nandi
,0.143371,35.156125,0.08,1.07,41.79,42.01,2.10,11.52,0.56,0.86,0.02,154073,116,1656,64381,64729,3234,17747,859,1321,30
Narok
,-1.227452,35.686784,0.17,13.50,46.65,25.77,0.83,6.05,0.94,5.70,0.40,169220,291,22845,78939,43601,1401,10241,1589,9641,672
Nyamira
,-0.644917,34.955612,0.05,0.62,30.35,62.48,0.67,3.45,2.01,0.37,0.01,106385,52,660,32287,66466,713,3666,2140,390,11
Nyandarua
,-0.374727,36.494076,0.06,8.33,20.27,36.70,3.97,20.57,6.72,3.35,0.02,143879,90,11979,29165,52806,5718,29594,9675,4820,32
Nyeri
,-0.407168,36.965186,0.03,0.55,27.66,9.27,12.16,43.79,4.07,2.40,0.07,201703,56,1111,55794,18701,24534,88332,8206,4831,138
Samburu
,1.183862,37.184377,0.49,5.54,24.81,53.01,0.93,13.49,0.41,1.28,0.05,47354,233,2624,11747,25100,441,6389,194,604,22
Siaya
,0.039184,34.279374,13.83,14.16,23.57,38.83,0.93,5.88,1.03,1.75,0.02,199034,27534,28184,46921,77281,1850,11698,2052,3476,38
Taita Taveta
,-3.551502,38.376101,0.30,0.87,23.02,10.60,6.53,52.68,0.19,5.74,0.07,71090,216,617,16368,7532,4639,37451,134,4081,52
Tana River
,-1.584971,39.536272,0.97,7.78,26.79,43.02,1.69,10.60,0.17,3.60,5.38,47414,460,3691,12703,20399,800,5024,82,1706,2549
Tharaka Nithi
,-0.227324,37.882411,0.10,0.08,58.72,28.58,1.20,10.57,0.08,0.65,0.03,27393,28,21,16084,7828,328,2895,23,179,7
Trans Nzoia
,1.030597,34.949297,0.05,0.70,20.25,64.89,1.66,9.92,0.24,2.24,0.05,170117,85,1197,34441,110386,2822,16880,407,3809,90
Turkana
,3.318344,35.401457,2.64,0.56,20.71,61.86,1.88,10.51,0.05,1.54,0.26,123191,3247,692,25515,76203,2313,12945,56,1897,323
Uasin Gishu
,0.555288,35.306307,0.07,0.81,8.89,56.32,7.64,24.80,0.11,1.30,0.06,202291,135,1638,17991,113923,15465,50168,214,2635,122
Vihiga
,0.0785,34.717749,0.05,0.34,22.22,70.68,1.12,3.37,1.21,0.99,0.02,123347,57,416,27406,87185,1387,4155,1497,1223,21
Wajir
,1.895541,40.07933,0.03,13.65,0.05,70.98,0.28,1.20,1.09,12.48,0.24,88574,26,12091,48,62867,249,1061,965,11056,211
West Pokot
,1.575837,35.316901,0.14,3.49,58.63,28,1.29,7.84,0.11,0.49,0.02,93777,128,3270,54977,26259,1210,7353,104,461,15
